identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
lounge area,1,7,1,11.677467972204541
cold room,8,100,1,4.840966704487421
other guest,19,9,3,8.651932880097403
steep staircase,9,6,4,10.729935392098676
noisy dark,4,1,1,12.484822894262146
rowdy neighbor,1,1,1,14.484822894262146
small room,44,100,16,6.381535085850124
easy tram,2,1,1,13.484822894262146
long walk,7,1,1,11.677467972204541
centre breakfast,1,12,1,10.899860393540989
good hotel,21,20,1,5.770577376596023
really nothing,5,2,2,12.162894799374783
large suit,3,1,1,12.899860393540989
cab service,1,5,1,12.162894799374783
little storage,23,3,1,8.376298437483976
small side,44,11,6,8.150922157708708
about parking,1,1,1,14.484822894262146
complimentary drink,4,8,1,9.484822894262146
only staying,17,0,1,0.0
different room,10,100,3,6.104001110321215
extra cost,6,3,2,11.314897892819832
cooked element,2,1,1,13.484822894262146
continental selection,1,7,1,11.677467972204541
top floor,5,22,4,9.703463180737486
top floor,5,22,4,9.703463180737486
electrical issue,2,8,1,10.484822894262146
loud knocking,5,1,1,12.162894799374783
second room,11,100,3,5.96649758657128
good quality,21,6,2,8.507542970762229
t mean,27,2,2,9.729935392098676
bad day,14,14,1,6.870113050146937
worth calling,2,0,1,0.0
cardio equipment,1,1,1,14.484822894262146
real ventilation,4,1,1,12.484822894262146
lower ground,6,4,4,11.899860393540989
smallest bathroom,1,13,1,10.784383176121054
awful view,1,3,1,12.899860393540989
not inspiring,17,0,1,0.0
single room,7,100,1,5.0336117824298166
squeaky floor,1,22,1,10.025391275624848
only guest,17,9,1,7.227435051569493
single welcome,7,1,1,11.677467972204541
good morning,21,7,2,8.285150549425781
special requirement,2,1,1,13.484822894262146
nice property,6,1,1,11.899860393540989
indifferent attitude,1,2,1,13.484822894262146
striking difference,1,1,1,14.484822894262146
small hotel,44,20,2,5.7034631807374865
cashier mashine,1,1,1,14.484822894262146
back office,3,1,1,12.899860393540989
expire month,1,1,1,14.484822894262146
mobile phone,3,2,2,12.899860393540989
informed regarding,1,0,1,0.0
specific question,1,1,1,14.484822894262146
good lighting,21,0,1,0.0
4th floor,1,22,1,10.025391275624848
larger room,4,100,2,6.840966704487421
awkward size,1,1,1,14.484822894262146
little stuffy,23,1,1,9.961260938205132
shower temperature,6,3,1,10.314897892819832
great place,6,4,1,9.899860393540989
fresh air,4,8,1,9.484822894262146
free breakfast,9,12,1,7.729935392098677
also bacon,5,3,1,10.577932298653627
same oven,13,1,1,10.784383176121054
free food,9,2,1,10.314897892819832
much option,8,1,1,11.484822894262146
clean fitness,5,1,1,12.162894799374783
fitness center,1,1,1,14.484822894262146
small room,44,100,16,6.381535085850124
soft bathroom,3,13,1,9.199420675399898
wee bit,1,9,1,11.314897892819832
same consideration,13,1,1,10.784383176121054
top floor,5,22,4,9.703463180737486
cold water,8,7,1,8.677467972204541
non slip,2,1,1,13.484822894262146
second room,11,100,3,5.96649758657128
s security,6,1,1,11.899860393540989
standard room,2,100,2,7.840966704487421
euros deposit,1,1,1,14.484822894262146
potential mini,1,2,1,13.484822894262146
only thing,17,12,6,9.397360053011806
big deal,9,5,1,8.99296979793247
soft mattress,3,1,1,12.899860393540989
next morning,17,7,2,8.590005130954202
worst room,2,100,1,6.840966704487421
second day,11,14,4,9.218036353567244
reduced price,2,7,1,10.677467972204541
second day,11,14,4,9.218036353567244
really nothing,5,2,2,12.162894799374783
perfect choice,1,5,1,12.162894799374783
cold winter,8,1,1,11.484822894262146
double bed,11,14,3,8.8029988542884
accessible plug,1,2,1,13.484822894262146
t take,27,1,1,9.729935392098676
few sachet,6,1,1,11.899860393540989
hot chocolate,9,1,1,11.314897892819832
t matter,27,1,1,9.729935392098676
low lucky,2,1,1,13.484822894262146
small esp,44,1,1,9.025391275624848
convincing explanation,1,1,1,14.484822894262146
lower ground,6,4,4,11.899860393540989
t smell,27,9,1,6.560010390656364
already part,1,3,1,12.899860393540989
best start,3,1,1,12.899860393540989
wrong room,4,100,1,5.840966704487421
valid timeset,1,1,1,14.484822894262146
european staff,2,8,1,10.484822894262146
cheap orange,2,1,1,13.484822894262146
tap water,1,7,1,11.677467972204541
horrible exchange,4,1,1,12.484822894262146
so disgusting,1,0,1,0.0
make sure,1,1,1,14.484822894262146
early arrival,4,1,1,12.484822894262146
last year,3,1,1,12.899860393540989
ten day,1,14,1,10.677467972204541
cleaner maid,2,1,1,13.484822894262146
not happening,17,0,1,0.0
5th floor,1,22,1,10.025391275624848
fast lack,1,2,1,13.484822894262146
replenish toiletry,1,1,1,14.484822894262146
facial tissue,1,1,1,14.484822894262146
bed cover,2,2,1,12.484822894262146
central heating,5,2,2,12.162894799374783
not working,17,1,5,12.719288147899169
other review,19,3,1,8.651932880097403
dated apart,3,1,1,12.899860393540989
other room,19,100,6,6.178001691764992
eg talking,1,0,1,0.0
double room,11,100,5,6.7034631807374865
really struggling,5,0,1,0.0
wardrobe space,1,9,1,11.314897892819832
enough plug,5,2,1,11.162894799374783
umcomfortable facilities,1,1,1,14.484822894262146
basic toileteries,4,1,1,12.484822894262146
only shampoo,17,1,1,10.397360053011806
shower gel,6,1,1,11.899860393540989
bad quality,14,6,1,8.092505471483385
same area,13,7,1,7.977028254063449
several time,4,18,2,9.314897892819832
slow room,3,100,1,6.256004203766265
small room,44,100,16,6.381535085850124
maybe bathroom,1,13,1,10.784383176121054
tight space,2,9,1,10.314897892819832
proper air,3,8,1,9.899860393540989
comfortable temperature,3,3,1,11.314897892819832
own toilet,3,2,1,11.899860393540989
sbsolutely disturbing,1,0,1,0.0
electric heater,4,2,1,11.484822894262146
bad night,14,15,1,6.770577376596023
superior room,1,100,1,7.840966704487421
first morning,25,7,1,7.0336117824298166
second morning,11,7,1,8.218036353567244
busy hotel,2,20,1,9.162894799374783
close walking,1,0,1,0.0
orthopaedic firm,1,2,1,13.484822894262146
limited selection,4,7,2,10.677467972204541
better breakfast,7,12,2,9.092505471483385
personal choice,2,5,2,12.162894799374783
plastic bag,1,2,1,13.484822894262146
rubbish bin,1,1,1,14.484822894262146
just walking,6,0,1,0.0
perhaps seating,1,1,1,14.484822894262146
local restaurant,3,2,1,11.899860393540989
simple map,2,1,1,13.484822894262146
great help,6,2,1,10.899860393540989
first time,25,18,3,7.256004203766265
different staff,10,8,1,8.162894799374783
poor english,4,1,1,12.484822894262146
many guest,2,9,1,10.314897892819832
official price,2,7,1,10.677467972204541
good offer,21,1,1,10.092505471483385
little warm,23,1,1,9.961260938205132
dry clothes,1,1,1,14.484822894262146
extra teabags,6,1,1,11.899860393540989
not brewing,17,0,1,0.0
small side,44,11,6,8.150922157708708
hot weather,9,1,1,11.314897892819832
big window,9,5,3,10.577932298653627
cleaner bug,2,1,1,13.484822894262146
lower price,6,7,1,9.092505471483385
t cool,27,2,1,8.729935392098676
smaller side,2,11,1,10.025391275624848
shower ran,6,1,1,11.899860393540989
old toothpaste,9,1,1,11.314897892819832
general instruction,3,1,1,12.899860393540989
semi evacuation,1,1,1,14.484822894262146
electrical short,2,1,1,13.484822894262146
subsequent acknowledgement,1,1,1,14.484822894262146
small discount,44,1,1,9.025391275624848
little time,23,18,1,5.79133593676282
small side,44,11,6,8.150922157708708
major issue,8,8,2,9.484822894262146
pungent smell,1,9,1,11.314897892819832
t work,27,3,2,9.14497289137752
little noisy,23,2,1,8.961260938205132
farthest room,1,100,1,7.840966704487421
uncomfortable bed,3,14,1,9.092505471483385
worn looking,2,0,1,0.0
double room,11,100,5,6.7034631807374865
double room,11,100,5,6.7034631807374865
called mini,1,2,1,13.484822894262146
mini bar,1,2,1,13.484822894262146
bare fridge,1,2,1,13.484822894262146
many time,2,18,1,9.314897892819832
added cost,2,3,1,11.899860393540989
fewer facility,1,2,1,13.484822894262146
great deal,6,5,2,10.577932298653627
t think,27,1,1,9.729935392098676
good value,21,6,5,9.829471065649592
upgraded room,1,100,1,7.840966704487421
fantastic hotel,1,20,1,10.162894799374783
fashioned kettle,1,1,1,14.484822894262146
instant coffee,1,9,1,11.314897892819832
tepid water,1,7,1,11.677467972204541
small room,44,100,16,6.381535085850124
central air,5,8,1,9.162894799374783
small hotel,44,20,2,5.7034631807374865
dated breakfast,3,12,1,9.314897892819832
front door,2,9,2,11.314897892819832
alternative entrance,2,3,1,11.899860393540989
rigid rule,1,1,1,14.484822894262146
early check,4,6,1,9.899860393540989
tall staff,2,8,1,10.484822894262146
stern face,1,1,1,14.484822894262146
harsh tone,1,1,1,14.484822894262146
good morning,21,7,2,8.285150549425781
just hoping,6,0,1,0.0
even looking,3,0,1,0.0
first pair,25,1,1,9.840966704487421
self service,1,5,1,12.162894799374783
t help,27,2,1,8.729935392098676
other room,19,100,6,6.178001691764992
s standard,6,1,1,11.899860393540989
same form,13,1,1,10.784383176121054
same info,13,2,1,9.784383176121054
whole booking,8,3,1,9.899860393540989
only following,17,0,1,0.0
exhausted guest,1,9,1,11.314897892819832
several day,4,14,1,8.677467972204541
broken window,2,5,1,11.162894799374783
much room,8,100,1,4.840966704487421
excellent customer,1,1,1,14.484822894262146
double room,11,100,5,6.7034631807374865
next door,17,9,6,9.81239755229065
quite disturbing,1,0,1,0.0
new menu,8,1,1,11.484822894262146
very appealing,6,0,1,0.0
single thing,7,12,1,8.092505471483385
few time,6,18,2,8.729935392098676
pleasant stay,3,6,2,11.314897892819832
small thing,44,12,1,5.440428774903692
long way,7,3,1,10.092505471483385
next trip,17,2,1,9.397360053011806
just coming,6,0,1,0.0
good value,21,6,5,9.829471065649592
huge deal,5,5,1,9.840966704487421
warm aircon,4,1,1,12.484822894262146
not cooling,17,1,2,11.397360053011806
spa area,1,7,1,11.677467972204541
small side,44,11,6,8.150922157708708
advertised twin,2,2,1,12.484822894262146
better selection,7,7,1,8.870113050146937
fruit selection,2,7,1,10.677467972204541
english breakfast,3,12,2,10.314897892819832
wait staff,1,8,1,11.484822894262146
several time,4,18,2,9.314897892819832
front door,2,9,2,11.314897892819832
fourth floor,1,22,1,10.025391275624848
narrow window,6,5,1,9.577932298653627
acceptable frequency,1,1,1,14.484822894262146
hot dish,9,1,1,11.314897892819832
new management,8,2,2,11.484822894262146
no sparkling,1,0,1,0.0
cheese selection,1,7,1,11.677467972204541
small change,44,3,1,7.440428774903692
nice touch,6,2,2,11.899860393540989
now lacking,1,0,1,0.0
disorganised staff,1,8,1,11.484822894262146
small plate,44,1,1,9.025391275624848
exec room,1,100,1,7.840966704487421
warm cooling,4,1,1,12.484822894262146
famous breakfast,1,12,1,10.899860393540989
noisy reveller,4,1,1,12.484822894262146
uncomfortable leaving,3,0,1,0.0
big business,9,1,1,11.314897892819832
proper wifi,3,1,1,12.899860393540989
bad thing,14,12,1,7.092505471483385
teh hotel,1,20,1,10.162894799374783
little bit,23,9,4,8.79133593676282
much space,8,9,1,8.314897892819832
warm air,4,8,1,9.484822894262146
cold spell,8,2,2,11.484822894262146
alternative room,2,100,1,6.840966704487421
cold one,8,1,1,11.484822894262146
double glazing,11,1,1,11.025391275624848
noise outside,2,1,1,13.484822894262146
old hotel,9,20,1,6.992969797932471
reasonable choice,1,5,1,12.162894799374783
dated hotel,3,20,1,8.577932298653627
little input,23,1,1,9.961260938205132
bad surprise,14,1,1,10.677467972204541
more fruit,13,2,1,9.784383176121054
only thing,17,12,6,9.397360053011806
fussy eater,1,1,1,14.484822894262146
same room,13,100,2,5.1405269863463285
long time,7,18,2,8.507542970762229
bad neck,14,1,1,10.677467972204541
absolutely stifling,2,0,1,0.0
first night,25,15,5,8.256004203766265
best hotel,3,20,1,8.577932298653627
little cold,23,2,1,8.961260938205132
older heating,2,2,1,12.484822894262146
small smell,44,9,1,5.855466274182536
shower drain,6,2,2,11.899860393540989
first night,25,15,5,8.256004203766265
constant noise,3,7,2,11.092505471483385
ac unit,1,1,1,14.484822894262146
hot breakfast,9,12,2,8.729935392098676
old building,9,7,3,10.092505471483385
top floor,5,22,4,9.703463180737486
thin wall,1,3,1,12.899860393540989
terrible night,4,15,1,8.577932298653627
dining room,1,100,1,7.840966704487421
hard pillow,1,5,1,12.162894799374783
high street,4,2,1,11.484822894262146
little extreme,23,1,1,9.961260938205132
small luxury,44,1,1,9.025391275624848
t realise,27,2,2,9.729935392098676
limited space,4,9,1,9.314897892819832
constant tapping,3,1,1,12.899860393540989
not work,17,3,1,8.81239755229065
lower ground,6,4,4,11.899860393540989
opposite service,1,5,1,12.162894799374783
lacked privacy,1,3,1,12.899860393540989
simple cocktail,2,1,1,13.484822894262146
loud noise,5,7,2,10.35553987731718
extra socket,6,1,1,11.899860393540989
sixth visit,1,2,1,13.484822894262146
whole family,8,1,1,11.484822894262146
sparkling wine,2,1,1,13.484822894262146
quiet room,3,100,1,6.256004203766265
small side,44,11,6,8.150922157708708
good coffee,21,9,1,6.922580470041073
early hour,4,2,1,11.484822894262146
english breakfast,3,12,2,10.314897892819832
different nationality,10,1,1,11.162894799374783
little bit,23,9,4,8.79133593676282
not working,17,1,5,12.719288147899169
cold air,8,8,1,8.484822894262146
smallish room,1,100,1,7.840966704487421
disabled facility,2,2,1,12.484822894262146
standard room,2,100,2,7.840966704487421
bigger room,3,100,3,7.840966704487421
bigger room,3,100,3,7.840966704487421
central heating,5,2,2,12.162894799374783
electric radiator,4,1,1,12.484822894262146
central hotel,5,20,1,7.840966704487421
not value,17,6,1,7.8123975522906495
wrong date,4,1,1,12.484822894262146
next night,17,15,1,6.490469457403288
canceled booking,2,3,1,11.899860393540989
canceled night,2,15,1,9.577932298653627
wrong night,4,15,1,8.577932298653627
nice people,6,4,1,9.899860393540989
same room,13,100,2,5.1405269863463285
double bed,11,14,3,8.8029988542884
single bed,7,14,2,8.870113050146937
higher floor,1,22,1,10.025391275624848
good time,21,18,1,5.922580470041073
warm felt,4,1,1,12.484822894262146
friendly policy,2,1,1,13.484822894262146
unnecessary waste,1,1,1,14.484822894262146
typical tourist,1,1,1,14.484822894262146
single tube,7,2,1,10.677467972204541
amazing bathrobe,2,1,1,13.484822894262146
larger bed,4,14,1,8.677467972204541
previous visit,5,2,1,11.162894799374783
original stay,1,6,1,11.899860393540989
full website,5,2,1,11.162894799374783
mobile website,3,2,1,11.899860393540989
small bathroom,44,13,4,7.3249515574837565
small people,44,4,1,7.025391275624848
u guess,1,1,1,14.484822894262146
few slice,6,1,1,11.899860393540989
executive service,1,5,1,12.162894799374783
hot breakfast,9,12,2,8.729935392098676
first day,25,14,1,6.0336117824298166
eggs bacon,1,3,1,12.899860393540989
positive feedback,1,1,1,14.484822894262146
attic room,2,100,2,7.840966704487421
mixer tap,1,1,1,14.484822894262146
t realise,27,2,2,9.729935392098676
fixed price,1,7,1,11.677467972204541
private firm,1,2,1,13.484822894262146
black cab,5,1,1,12.162894799374783
absolutely stank,2,1,1,13.484822894262146
small room,44,100,16,6.381535085850124
complimentary coffee,4,9,2,10.314897892819832
other room,19,100,6,6.178001691764992
small room,44,100,16,6.381535085850124
first room,25,100,6,5.782073015433853
loud floorboard,5,1,1,12.162894799374783
fifth floor,1,22,1,10.025391275624848
hot entree,9,1,1,11.314897892819832
often selection,1,7,1,11.677467972204541
bad experience,14,7,3,9.455075550868093
same hotel,13,20,1,6.462455081233691
sharp debris,1,1,1,14.484822894262146
tried standing,1,1,1,14.484822894262146
good value,21,6,5,9.829471065649592
other hotel,19,20,1,5.914967285931198
comprehensive get,1,2,1,13.484822894262146
e g,1,1,1,14.484822894262146
timid fox,1,1,1,14.484822894262146
small child,44,1,1,9.025391275624848
used cup,2,2,1,12.484822894262146
cooked tuna,2,1,1,13.484822894262146
lower ground,6,4,4,11.899860393540989
good condition,21,2,1,9.092505471483385
limited selection,4,7,2,10.677467972204541
not working,17,1,5,12.719288147899169
portable heater,1,2,1,13.484822894262146
disabled access,2,1,1,13.484822894262146
small room,44,100,16,6.381535085850124
much noise,8,7,2,9.677467972204541
special treatment,2,1,1,13.484822894262146
regular guest,1,9,1,11.314897892819832
preliminary notice,1,1,1,14.484822894262146
silly price,1,7,1,11.677467972204541
rather noisy,1,2,1,13.484822894262146
once party,1,1,1,14.484822894262146
external factor,1,1,1,14.484822894262146
small room,44,100,16,6.381535085850124
tight bathroom,2,13,1,9.784383176121054
big guy,9,1,1,11.314897892819832
not working,17,1,5,12.719288147899169
earmy interrupting,1,0,1,0.0
little room,23,100,1,3.317404748430408
small room,44,100,16,6.381535085850124
broken tv,2,4,1,11.484822894262146
strange smell,2,9,1,10.314897892819832
espresso coffee,1,9,1,11.314897892819832
small room,44,100,16,6.381535085850124
third floor,1,22,1,10.025391275624848
tiny bar,3,2,1,11.899860393540989
free internet,9,1,1,11.314897892819832
t book,27,2,1,8.729935392098676
pleasant stay,3,6,2,11.314897892819832
little snug,23,1,1,9.961260938205132
same time,13,18,2,7.614458174678741
small room,44,100,16,6.381535085850124
small bathroom,44,13,4,7.3249515574837565
english accent,3,1,1,12.899860393540989
small elevator,44,1,1,9.025391275624848
noisy room,4,100,2,6.840966704487421
small bathroom,44,13,4,7.3249515574837565
expensive buffet,6,2,1,10.899860393540989
views non,1,1,1,14.484822894262146
next door,17,9,6,9.81239755229065
extra bed,6,14,1,8.092505471483385
painful night,1,15,1,10.577932298653627
alittle bit,1,9,1,11.314897892819832
worn dusty,2,1,1,13.484822894262146
larger room,4,100,2,6.840966704487421
not going,17,0,1,0.0
t dislike,27,1,1,9.729935392098676
same choice,13,5,1,8.46245508123369
triple room,2,100,2,7.840966704487421
full upgrade,5,2,1,11.162894799374783
huge luggage,5,1,1,12.162894799374783
small side,44,11,6,8.150922157708708
personal choice,2,5,2,12.162894799374783
triple room,2,100,2,7.840966704487421
advertised picture,2,1,1,13.484822894262146
enough lighting,5,0,1,0.0
just lamp,6,1,1,11.899860393540989
early morning,4,7,1,9.677467972204541
complimentary coffee,4,9,2,10.314897892819832
nice touch,6,2,2,11.899860393540989
small room,44,100,16,6.381535085850124
basic appears,4,1,1,12.484822894262146
previous stay,5,6,1,9.577932298653627
cosmetic bag,1,2,1,13.484822894262146
top quality,5,6,1,9.577932298653627
bigger room,3,100,3,7.840966704487421
applicable everything,1,2,1,13.484822894262146
london bit,1,9,1,11.314897892819832
unstable bitrate,1,1,1,14.484822894262146
don t,1,8,1,11.484822894262146
good value,21,6,5,9.829471065649592
tiny shower,3,1,1,12.899860393540989
spare blanket,1,1,1,14.484822894262146
sudden temperature,1,3,1,12.899860393540989
single bed,7,14,2,8.870113050146937
king executive,1,1,1,14.484822894262146
terrible lay,4,2,1,11.484822894262146
full price,5,7,1,9.35553987731718
better deal,7,5,1,9.35553987731718
added expense,2,1,1,13.484822894262146
local car,3,1,1,12.899860393540989
detailed info,1,2,1,13.484822894262146
green elephant,1,1,1,14.484822894262146
t seam,27,1,1,9.729935392098676
palatable i,1,2,1,13.484822894262146
restaurant staff,1,8,1,11.484822894262146
minimal consisting,3,1,1,12.899860393540989
black pudding,5,1,1,12.162894799374783
international plan,1,1,1,14.484822894262146
other location,19,2,1,9.23689538081856
only thing,17,12,6,9.397360053011806
different pillow,10,5,1,8.840966704487421
easy parking,2,1,1,13.484822894262146
more discreet,13,1,1,10.784383176121054
t try,27,1,1,9.729935392098676
more seating,13,1,1,10.784383176121054
t ideal,27,1,1,9.729935392098676
second time,11,18,1,6.855466274182536
first time,25,18,3,7.256004203766265
basic room,4,100,2,6.840966704487421
expensive room,6,100,2,6.256004203766265
free upgrade,9,2,1,10.314897892819832
first time,25,18,3,7.256004203766265
same reservation,13,1,1,10.784383176121054
different building,10,7,1,8.35553987731718
different floor,10,22,1,6.7034631807374865
same building,13,7,1,7.977028254063449
complimentary item,4,1,1,12.484822894262146
empty box,5,1,1,12.162894799374783
