word,sentiment,std
due,0.54,0.15
considerable,0.54,0.24
starry,0.54,0.23
princely,0.54,0.11
great,0.54,0.24
gothic,0.54,0.08
discriminating,0.54,0.08
olive,0.54,0.16
prime,0.54,0.18
divine,0.55,0.15
confidential,0.55,0.12
precious,0.55,0.11
irregular,0.55,0.17
warmer,0.55,0.19
wealthy,0.55,0.14
mellow,0.55,0.12
indebted,0.56,0.52
comprehensive,0.56,0.1
antique,0.56,0.09
sanguine,0.56,0.14
common,0.57,0.14
main,0.57,0.11
brighter,0.57,0.26
ethereal,0.57,0.17
practicable,0.57,0.2
absolute,0.57,0.77
adjacent,0.58,0.14
thoughtful,0.58,0.22
conspicuous,0.58,0.11
fullest,0.58,0.11
budding,0.59,0.11
fertile,0.59,0.16
renowned,0.59,0.11
largest,0.59,0.17
philosophic,0.59,0.08
immense,0.59,0.23
ablest,0.6,0.15
glossy,0.6,0.2
greatest,0.6,0.19
silvery,0.6,0.17
preferable,0.6,0.49
fuller,0.6,0.18
clearer,0.6,0.22
profitable,0.6,0.27
small,0.6,0.14
regular,0.6,0.14
sturdy,0.61,0.2
stout,0.61,0.16
musical,0.61,0.15
strict,0.61,0.68
close,0.61,0.15
enthusiastic,0.61,0.13
profound,0.61,0.15
curious,0.61,0.18
admiring,0.61,0.15
competent,0.61,0.14
lofty,0.61,0.11
dramatic,0.62,0.28
poetic,0.62,0.14
suitable,0.62,0.13
artistic,0.62,0.13
explicit,0.62,0.1
skilled,0.62,0.13
sloping,0.62,0.2
varied,0.63,0.11
truest,0.63,0.18
plain,0.63,0.1
innocent,0.63,0.51
brown,0.63,0.17
cloudy,0.63,0.5
cheap,0.64,0.17
proper,0.64,0.18
authentic,0.64,0.18
ample,0.64,0.13
careful,0.65,0.15
undisturbed,0.65,0.17
red,0.65,0.13
steady,0.65,0.11
stately,0.65,0.14
deserving,0.65,0.1
prominent,0.66,0.18
pastoral,0.66,0.11
curved,0.66,0.17
short,0.66,0.16
accessible,0.66,0.19
purer,0.66,0.22
shining,0.66,0.15
conical,0.66,0.18
liquid,0.66,0.19
leafy,0.66,0.22
majestic,0.67,0.11
impartial,0.67,0.09
striped,0.67,0.18
intimate,0.67,0.15
devout,0.67,0.1
funny,0.67,0.44
choicest,0.67,0.2
purest,0.67,0.18
acute,0.68,0.12
vast,0.68,0.2
energetic,0.68,0.09
wide,0.68,0.12
white,0.68,0.15
embroidered,0.69,0.11
heroic,0.69,0.13
gilded,0.69,0.1
dearer,0.69,0.25
mature,0.69,0.53
content,0.69,0.63
intelligible,0.7,0.12
shrewd,0.71,0.16
simple,0.71,0.05
sweeter,0.71,0.22
glad,0.71,0.59
dainty,0.71,0.17
greenish,0.72,0.19
admirable,0.72,0.89
desirable,0.72,0.16
sincere,0.72,0.08
queer,0.72,0.36
valuable,0.72,0.23
wonderful,0.72,0.19
pro,0.72,0.48
inward,0.73,0.65
shaded,0.73,0.17
sheltered,0.74,0.25
forcible,0.74,0.14
broad,0.74,0.09
erect,0.74,0.15
copious,0.75,0.15
spacious,0.75,0.1
noblest,0.75,0.18
animated,0.75,0.12
nobler,0.75,0.17
yellow,0.76,0.16
scarlet,0.76,0.13
cautious,0.76,0.11
tall,0.76,0.19
native,0.76,0.17
wisest,0.76,0.18
purple,0.77,0.16
judicious,0.77,0.12
distinguished,0.77,0.18
adjoining,0.77,0.13
holy,0.77,0.12
eternal,0.79,0.55
richest,0.79,0.18
expedient,0.79,0.61
rounded,0.8,0.14
gallant,0.8,0.23
wondrous,0.8,0.51
vigorous,0.8,0.11
extensive,0.8,0.11
eloquent,0.8,0.1
yellowish,0.8,0.18
faithful,0.81,0.1
useful,0.81,0.2
sagacious,0.81,0.16
happier,0.81,0.61
rustic,0.82,0.2
candid,0.82,0.12
russet,0.82,0.2
safe,0.82,0.56
brightest,0.82,0.21
desirous,0.83,0.49
ingenious,0.83,0.12
celebrated,0.83,0.49
tiny,0.83,0.15
finest,0.83,0.54
steadfast,0.83,0.09
possible,0.84,0.47
wedded,0.84,0.53
slender,0.84,0.16
enlightened,0.84,0.14
joyful,0.84,0.52
truthful,0.85,0.08
double,0.85,0.09
honest,0.85,0.14
industrious,0.85,0.11
miniature,0.85,0.07
grassy,0.85,0.21
hearty,0.86,0.2
liberal,0.86,0.14
shallow,0.87,0.19
manly,0.87,0.13
indulgent,0.87,0.37
glowing,0.87,0.18
costly,0.87,0.09
heavenly,0.87,0.18
patriotic,0.88,0.16
benevolent,0.88,0.15
inspiring,0.88,0.41
evergreen,0.88,0.16
pensive,0.89,0.55
blue,0.89,0.15
sober,0.89,0.11
skillful,0.9,0.19
enchanted,0.9,0.52
apparent,0.9,0.69
luxuriant,0.9,0.18
large,0.9,0.13
honorable,0.91,0.18
appropriate,0.91,0.15
disinterested,0.92,0.17
firm,0.94,0.13
playful,0.94,0.43
dusky,0.94,0.58
superb,0.94,0.11
merry,0.95,0.53
skilful,0.95,0.52
remarkable,0.95,0.23
elastic,0.95,0.14
intelligent,0.95,0.16
magnificent,0.96,0.13
general,0.96,0.58
prudent,0.96,0.14
green,0.96,0.16
warmest,0.96,0.09
soothing,0.96,0.19
annual,0.97,0.09
equal,0.97,0.67
sensible,0.97,0.17
clerical,0.98,0.43
confident,0.98,0.61
relative,0.98,0.54
full,0.98,0.56
hallowed,0.99,0.43
respectful,0.99,0.14
womanly,1.0,0.1
pink,1.0,0.14
triumphant,1.01,0.52
golden,1.01,0.19
dearest,1.02,0.45
whole,1.02,0.65
gifted,1.02,0.17
true,1.03,0.5
thorough,1.03,0.65
original,1.04,0.58
temperate,1.04,0.08
eminent,1.04,0.51
brilliant,1.04,0.15
exact,1.05,0.69
following,1.05,0.51
requisite,1.06,0.61
perennial,1.06,0.12
bridal,1.06,0.42
suggestive,1.06,0.72
tough,1.06,0.52
gay,1.06,0.47
ornamental,1.06,0.11
pious,1.07,0.5
illustrious,1.07,0.46
sparkling,1.08,0.15
hardy,1.08,0.11
clear,1.09,0.1
fruitful,1.09,0.43
witty,1.09,0.17
youthful,1.1,0.5
universal,1.1,0.65
delicate,1.1,0.17
novel,1.1,0.55
ideal,1.11,0.5
beauteous,1.12,0.56
familiar,1.12,0.48
affectionate,1.12,0.14
tender,1.12,0.19
peaceable,1.13,0.4
picturesque,1.13,0.28
orderly,1.13,0.04
gorgeous,1.13,0.11
genteel,1.14,0.38
virtuous,1.14,0.17
neat,1.14,0.12
entire,1.14,0.77
clever,1.14,0.33
rich,1.15,0.2
romantic,1.15,0.51
safer,1.15,0.52
prosperous,1.15,0.48
finer,1.15,0.46
friendly,1.16,0.41
secluded,1.16,0.47
fairest,1.17,0.52
airy,1.17,0.37
showy,1.17,0.1
rare,1.18,0.46
feminine,1.18,0.36
brave,1.18,0.49
blest,1.18,0.44
flowering,1.18,0.14
radiant,1.18,0.57
healthful,1.18,0.34
impressive,1.19,0.46
singular,1.19,0.46
fairer,1.2,0.52
charitable,1.2,0.49
dignified,1.2,0.18
open,1.21,0.44
rosy,1.21,0.51
usual,1.21,0.49
warm,1.21,0.45
buoyant,1.23,0.49
ripe,1.25,0.43
splendid,1.25,0.11
considerate,1.26,0.15
sweetest,1.26,0.4
calm,1.27,0.16
polite,1.27,0.13
comparative,1.28,0.52
refined,1.28,0.12
early,1.29,0.41
generous,1.29,0.12
convenient,1.29,0.37
complete,1.31,0.68
entertaining,1.31,0.41
wise,1.31,0.48
beloved,1.31,0.46
handsome,1.31,0.18
valiant,1.32,0.48
best,1.32,0.52
characteristic,1.32,0.47
glorious,1.32,0.41
brisk,1.34,0.41
amusing,1.34,0.46
hopeful,1.34,0.44
gracious,1.35,0.34
modest,1.36,0.42
humane,1.38,0.47
meek,1.38,0.39
wholesome,1.38,0.42
respectable,1.39,0.37
easy,1.39,0.27
flowery,1.39,0.42
commanding,1.39,0.46
interesting,1.39,0.52
bright,1.4,0.37
nice,1.4,0.38
worthy,1.41,0.42
jolly,1.41,0.29
fragrant,1.42,0.16
loving,1.42,0.35
elegant,1.43,0.11
cordial,1.45,0.34
welcome,1.46,0.39
productive,1.46,0.43
tolerable,1.46,0.51
blooming,1.46,0.49
dewy,1.47,0.44
grand,1.49,0.35
placid,1.5,0.35
courteous,1.51,0.13
pure,1.51,0.4
striking,1.51,0.45
joyous,1.52,0.47
harmonious,1.53,0.35
blessed,1.55,0.32
noble,1.55,0.38
sunny,1.56,0.4
serene,1.58,0.32
exquisite,1.6,0.31
comfortable,1.6,0.35
snug,1.6,0.34
soft,1.62,0.36
pretty,1.65,0.32
amiable,1.65,0.31
fair,1.66,0.46
graceful,1.69,0.33
late,1.69,0.32
gentlemanly,1.71,0.27
cool,1.71,0.4
congenial,1.72,0.38
genial,1.72,0.34
lively,1.72,0.37
hospitable,1.72,0.24
gentle,1.75,0.36
instructive,1.77,0.43
shady,1.77,0.45
juicy,1.79,0.41
mild,1.8,0.29
obliging,1.82,0.32
sweet,1.84,0.36
delicious,1.85,0.31
cheerful,1.85,0.37
quiet,1.85,0.28
peaceful,1.88,0.29
fresh,1.9,0.32
fascinating,1.9,0.31
tranquil,1.91,0.21
refreshing,1.92,0.33
pleasing,1.96,0.37
rural,1.96,0.31
fine,2.02,0.25
attractive,2.02,0.33
beautiful,2.03,0.29
grateful,2.05,0.25
agreeable,2.12,0.31
charming,2.27,0.17
hateful,-2.71,0.43
murderous,-2.22,0.57
contemptible,-1.92,0.22
disgraced,-1.86,0.51
terrified,-1.8,0.6
wounded,-1.79,0.58
scared,-1.71,0.52
tragic,-1.69,0.71
inexplicable,-1.67,0.69
humiliating,-1.61,0.62
unwelcome,-1.43,0.72
penitent,-1.41,0.58
ole,-1.34,0.58
unwise,-1.23,0.24
commonplace,-1.17,0.16
unconstitutional,-1.07,0.22
distorted,-1.06,0.26
devoid,-1.05,0.19
afloat,-1.04,0.19
junior,-0.99,0.71
crude,-0.97,0.14
shocked,-0.96,0.25
annoyed,-0.96,0.25
discontented,-0.95,0.28
paltry,-0.93,0.22
incomplete,-0.92,0.18
shabby,-0.9,0.23
thirsty,-0.88,0.3
weird,-0.86,0.32
rusty,-0.81,0.21
clumsy,-0.8,0.3
dingy,-0.7,0.27
commissary,-0.68,0.89
flaming,-0.65,0.92
swollen,-0.65,0.16
grotesque,-0.62,0.28
muddy,-0.62,0.18
dominant,-0.59,0.09
defensive,-0.55,0.12
amused,-0.53,0.18
ginger,-0.51,0.21
depreciated,-0.5,0.14
exceptional,-0.49,0.17
prone,-0.46,0.17
flyaway,-0.45,0.22
alien,-0.44,0.14
questionable,-0.41,0.11
unchanged,-0.39,0.17
shifting,-0.36,0.09
outraged,-0.35,0.17
traditional,-0.33,0.14
invincible,-0.33,0.13
betrothed,-0.33,0.79
yearly,-0.3,0.08
forbidding,-0.3,0.19
inexorable,-0.3,0.12
pisistratus,-0.28,0.19
veritable,-0.28,0.23
handy,-0.27,0.89
unsatisfactory,-0.25,0.23
unnoticed,-0.21,0.16
irrepressible,-0.21,0.09
motley,-0.2,0.14
meagre,-0.2,0.14
disturbing,-0.2,0.15
conquering,-0.19,0.1
varying,-0.19,0.15
untouched,-0.18,0.09
defiant,-0.18,0.15
obed,-0.14,0.24
sweeping,-0.13,0.14
advisable,-0.13,0.23
convinced,-0.13,0.14
immovable,-0.12,0.14
strategic,-0.11,0.14
congressional,-0.1,0.14
uplifted,-0.07,0.17
prussian,-0.06,0.09
bony,-0.04,0.17
elderly,-0.04,0.24
portuguese,-0.02,0.13
chilly,-0.01,0.27
partisan,-0.01,0.14
patriarchal,-0.0,0.15
payable,0.03,0.12
sanitary,0.04,0.1
lesser,0.05,0.1
paramount,0.06,0.22
swelling,0.07,0.11
swiss,0.07,0.08
hind,0.07,0.14
nightly,0.09,0.1
surly,0.11,0.16
numberless,0.11,0.09
remotest,0.13,0.12
subtile,0.13,0.23
pathetic,0.14,0.25
rebellious,0.14,0.13
hardest,0.14,0.15
virginian,0.15,0.18
belligerent,0.17,0.1
persistent,0.19,0.04
leading,0.19,0.08
outstretched,0.19,0.16
mediterranean,0.19,0.04
circulating,0.19,0.13
guiding,0.24,0.09
sovereign,0.24,0.25
technical,0.27,0.09
jewish,0.28,0.11
polish,0.29,0.12
danish,0.29,0.1
infallible,0.32,0.28
bigger,0.37,0.26
mormon,0.38,0.19
underground,0.39,0.09
latin,0.41,0.06
lavish,0.42,0.13
broader,0.45,0.23
unlucky,0.47,0.79
comic,0.53,0.91
emphatic,0.56,0.11
truer,0.63,0.22
alert,0.73,0.16
chivalrous,0.73,0.18
politic,0.8,0.71
motherly,0.87,0.09
impulsive,0.9,0.17
luminous,0.95,0.25
unscrupulous,0.95,0.67
courageous,0.95,0.19
fried,0.96,0.57
rainy,0.97,0.57
roast,1.02,0.59
boiled,1.12,0.6
oval,1.14,0.24
humorous,1.15,0.53
beaming,1.17,0.23
robust,1.4,0.51
girlish,1.45,0.52
cheery,2.34,0.36
dishonest,-2.48,0.69
frivolous,-2.37,0.57
distressing,-2.29,0.8
penniless,-1.79,0.71
impertinent,-1.75,0.62
incomprehensible,-1.75,0.77
inexperienced,-1.69,0.58
depressing,-1.65,0.9
embarrassing,-1.54,0.99
shameful,-1.53,0.22
distasteful,-1.49,0.95
tiresome,-1.49,0.76
unaccustomed,-1.32,0.69
unfair,-1.29,0.3
ferocious,-1.15,0.27
piteous,-1.14,0.34
ghostly,-1.12,0.28
pitiless,-1.09,0.14
impudent,-1.08,0.19
noticeable,-1.01,0.38
fraudulent,-0.96,0.27
disabled,-0.95,0.12
chronic,-0.93,0.17
contradictory,-0.88,0.18
unimportant,-0.88,0.17
dizzy,-0.87,0.22
lawless,-0.81,0.15
fictitious,-0.69,0.17
adrift,-0.66,0.25
comical,-0.66,0.47
hysterical,-0.58,0.13
notable,-0.58,0.44
obnoxious,-0.57,0.93
wholesale,-0.56,0.29
audacious,-0.55,0.15
moody,-0.54,0.16
hindu,-0.52,0.26
downright,-0.44,0.23
mock,-0.42,0.19
electoral,-0.41,0.14
theatrical,-0.39,0.25
pained,-0.39,0.31
grizzly,-0.36,0.12
bewildering,-0.32,0.27
kinder,-0.32,0.15
vertical,-0.28,0.11
invaluable,-0.28,1.05
laboring,-0.25,0.2
wistful,-0.22,0.28
parisian,-0.21,0.14
marvelous,-0.21,0.32
pending,-0.2,0.13
parallel,-0.2,0.15
antislavery,-0.18,0.09
typical,-0.15,0.22
unique,-0.13,0.17
creditable,-0.12,0.42
scant,-0.1,0.12
persian,-0.1,0.07
physiological,-0.09,0.1
primeval,-0.09,0.09
aryan,-0.08,0.08
fastidious,-0.08,0.12
spinal,-0.06,0.12
alternate,-0.04,0.14
lurid,-0.04,0.26
solar,-0.03,0.09
metropolitan,-0.02,0.08
arabian,-0.01,0.41
psychological,-0.01,0.11
avowed,0.0,0.09
plaintive,0.0,0.35
quicker,0.01,0.42
uppermost,0.01,0.11
shasta,0.03,0.14
monthly,0.03,0.12
faintest,0.03,0.06
inexhaustible,0.03,0.21
prospective,0.06,0.15
aggressive,0.08,0.14
slippery,0.08,0.23
tangible,0.1,0.22
objective,0.1,0.18
subjective,0.1,0.14
astronomical,0.13,0.15
brazen,0.15,0.12
economic,0.16,0.15
quaker,0.19,0.35
lurking,0.19,0.19
experimental,0.22,0.12
convincing,0.23,0.4
verbal,0.24,0.17
sane,0.26,0.6
jovial,0.29,0.86
knitted,0.36,0.16
assistant,0.36,0.07
emotional,0.38,0.1
prim,0.4,0.09
overcast,0.41,0.22
innate,0.43,0.12
biggest,0.49,0.15
vigilant,0.5,0.06
stalwart,0.64,0.31
balder,0.67,0.65
cultivated,0.74,0.22
floating,0.77,0.21
trailing,0.78,0.32
beatific,0.83,0.82
generic,0.84,0.75
spotless,0.91,0.13
trustworthy,0.98,0.71
trim,1.03,0.33
plump,1.07,0.36
crisp,1.13,0.24
discreet,1.15,0.18
bland,1.26,0.56
unselfish,1.26,0.2
violet,1.36,0.67
prettiest,1.44,0.61
loveliest,1.48,0.61
comforting,1.57,0.33
childlike,1.69,0.4
crippled,-2.33,0.61
limp,-2.24,0.57
stale,-2.11,0.57
dire,-2.06,0.57
outrageous,-1.96,0.27
phantom,-1.43,0.95
sordid,-1.35,0.2
worried,-1.31,0.39
immoral,-1.26,0.23
wee,-1.26,0.74
wearisome,-1.23,0.94
untrue,-1.2,0.2
greedy,-1.18,0.13
damned,-1.14,0.25
dazed,-1.14,0.34
insulting,-1.12,0.2
blackened,-1.11,0.32
irresponsible,-0.85,0.22
preposterous,-0.79,0.13
turbulent,-0.72,0.12
revised,-0.66,0.81
futile,-0.64,0.14
drowsy,-0.48,0.23
knowest,-0.47,0.2
blinding,-0.44,0.2
bitterest,-0.43,0.16
colorless,-0.41,0.27
electrical,-0.41,0.17
corny,-0.34,0.12
elective,-0.32,0.21
rubber,-0.28,0.08
wilder,-0.24,0.26
stimulating,-0.22,0.98
deepening,-0.2,0.32
rickety,-0.2,0.16
corporate,-0.16,0.27
honorary,-0.15,0.21
prehistoric,-0.15,0.13
flickering,-0.11,0.3
magical,-0.1,0.23
malay,-0.08,0.11
aztec,-0.04,0.22
underlying,-0.03,0.12
neolithic,-0.03,0.08
creole,-0.03,0.19
ancestral,-0.03,0.1
presiding,-0.02,0.11
simpler,-0.01,0.28
dried,-0.0,0.2
inter,0.01,0.18
fiscal,0.02,0.2
maritime,0.03,0.08
glacial,0.04,0.11
unlikely,0.05,0.31
administrative,0.06,0.17
eligible,0.1,0.2
editorial,0.12,0.11
slim,0.14,0.4
cynical,0.15,0.17
shaggy,0.16,0.26
governmental,0.18,0.2
amateur,0.18,0.15
strenuous,0.21,0.13
net,0.21,0.18
cupful,0.21,0.22
theoretical,0.22,0.09
straggling,0.23,0.24
maximum,0.23,0.19
decorative,0.26,0.14
chopped,0.26,0.22
vedic,0.29,0.14
academic,0.34,0.16
realistic,0.35,0.32
ethical,0.38,0.1
vocal,0.38,0.1
phoenician,0.39,0.14
easiest,0.42,0.2
lithe,0.47,0.4
aesthetic,0.47,0.13
orange,0.49,0.31
illegal,0.53,0.55
mediaeval,0.54,0.1
apache,0.65,0.58
coveted,0.68,0.64
graphic,0.72,0.31
inmost,0.77,0.16
architectural,0.8,0.67
reverent,0.84,0.15
rippling,0.92,0.22
venetian,0.99,0.17
thrifty,1.03,0.18
straightforward,1.09,0.15
blonde,1.11,0.69
tenderest,1.15,0.2
plentiful,1.59,0.54
enchanting,2.02,0.37
helpful,2.05,0.32
abject,-2.24,0.58
puerperal,-1.73,0.57
rotten,-1.69,0.53
battered,-1.55,0.41
abnormal,-1.54,0.72
sinister,-1.44,0.72
incompetent,-1.35,0.17
bored,-1.11,0.29
relentless,-0.93,0.2
aghast,-0.9,0.17
awed,-0.73,0.22
urban,-0.54,0.1
merciless,-0.43,0.14
abreast,-0.29,0.18
postal,-0.25,0.11
yere,-0.24,0.19
sensational,-0.24,0.15
spotted,-0.21,0.17
outdoor,-0.2,0.15
exaggerated,-0.19,0.1
unfamiliar,-0.16,0.17
cuban,-0.16,0.09
tribal,-0.16,0.13
consular,-0.14,0.11
terrestrial,-0.12,0.09
tidal,-0.12,0.13
widespread,-0.04,0.18
philanthropic,-0.03,0.13
norwegian,-0.03,0.14
siouan,-0.02,0.05
mahommed,0.03,0.11
diverse,0.03,0.13
asiatic,0.03,0.1
sexual,0.05,0.13
civic,0.06,0.14
rudimentary,0.07,0.04
clenched,0.07,0.16
intricate,0.08,0.23
australian,0.09,0.1
concrete,0.09,0.11
newer,0.09,0.19
northwestern,0.1,0.09
stirring,0.14,0.21
rhythmic,0.19,0.14
embryonic,0.23,0.12
suburban,0.24,0.1
select,0.29,0.2
slower,0.3,0.14
impassable,0.33,0.71
terraced,0.36,0.15
renewed,0.43,0.09
unmarried,0.45,0.27
noteworthy,0.48,0.2
abiding,0.49,0.14
curly,0.5,0.3
florentine,0.56,0.14
bravest,0.65,0.2
authoritative,0.71,0.12
welsh,0.73,0.65
taller,0.75,0.22
californian,0.82,0.62
athletic,0.83,0.17
scholarly,0.87,0.13
neighbouring,0.9,0.57
pleasanter,0.98,0.53
serviceable,1.2,0.47
favourable,1.54,0.57
typhoid,-2.15,0.54
unreal,-1.8,0.85
annoying,-1.77,0.95
nasty,-1.67,0.73
runaway,-1.54,0.78
cooperative,-1.26,1.13
sonic,-1.16,0.89
submerged,-0.95,0.11
undesirable,-0.77,0.3
sleeping,-0.76,0.34
uncanny,-0.72,0.44
allus,-0.69,1.02
drowning,-0.65,0.24
soiled,-0.61,0.34
unlawful,-0.6,0.15
unused,-0.59,0.15
anny,-0.54,0.32
unaware,-0.51,0.14
lean,-0.49,0.29
rowdy,-0.44,0.33
harmful,-0.43,0.27
intact,-0.42,0.17
oblivious,-0.37,0.08
astounded,-0.31,0.39
competing,-0.31,0.15
psychic,-0.29,0.12
supposed,-0.29,0.15
vanishing,-0.29,0.15
thicker,-0.26,0.25
armed,-0.25,0.14
obsolete,-0.24,0.1
puzzling,-0.24,0.32
peruvian,-0.23,0.09
tine,-0.22,0.13
purty,-0.21,1.12
masked,-0.19,0.15
inaccessible,-0.19,0.09
perplexing,-0.18,0.36
crafty,-0.18,0.26
philippine,-0.18,0.12
adamant,-0.15,0.11
disorderly,-0.14,0.12
socialistic,-0.14,0.15
initial,-0.11,0.1
mongol,-0.05,0.2
potential,-0.04,0.15
alternating,-0.03,0.05
blunt,-0.02,0.18
downcast,-0.02,0.3
racial,-0.01,0.21
ceremonial,0.0,0.12
diminishing,0.0,0.1
upturned,0.0,0.28
cubic,0.01,0.14
linguistic,0.01,0.13
tentative,0.01,0.23
alluring,0.04,0.9
socialist,0.04,0.12
shortest,0.05,0.11
retail,0.06,0.2
automatic,0.07,0.06
merest,0.07,0.27
tense,0.08,0.2
veiled,0.1,0.18
hairy,0.12,0.14
hazy,0.12,0.12
revolving,0.12,0.08
keno,0.13,0.2
norman,0.13,0.16
oblong,0.14,0.15
compassionate,0.14,0.36
southwestern,0.14,0.1
compressed,0.15,0.08
igneous,0.16,0.09
biological,0.16,0.12
insistent,0.16,0.13
antagonistic,0.18,0.08
coloured,0.18,0.1
analogous,0.2,0.1
everyday,0.21,0.17
elemental,0.22,0.18
repressed,0.22,0.16
compulsory,0.23,0.19
atomic,0.25,0.15
consolidated,0.28,0.1
equitable,0.29,0.09
molten,0.3,0.14
educated,0.31,0.34
hygienic,0.32,0.29
fleeting,0.34,0.2
widest,0.35,0.12
competitive,0.39,0.14
descriptive,0.44,0.19
shiny,0.44,0.21
lyric,0.55,0.16
illuminating,0.55,0.12
terminal,0.58,0.29
constructive,0.59,0.24
steaming,0.62,0.23
cultured,0.63,0.21
concluding,0.66,0.29
satisfying,0.71,0.19
impersonal,0.73,0.21
forthcoming,0.75,0.21
powdered,0.79,0.41
closest,0.93,0.23
mammoth,1.04,0.7
masterful,1.38,0.62
canned,1.54,0.56
scented,1.72,0.58
reassuring,1.94,0.53
informal,2.28,0.61
homesick,-2.59,0.51
filthy,-2.01,0.47
precarious,-1.99,0.66
deplorable,-1.95,0.77
eskimo,-1.92,0.74
sickening,-1.9,0.78
worrying,-1.87,0.43
inefficient,-1.83,0.56
terrifying,-1.72,0.89
illiterate,-1.61,0.75
impotent,-1.33,0.14
foxy,-1.31,0.66
vindictive,-1.28,0.4
ruthless,-1.26,0.27
poignant,-1.12,0.79
spectacular,-1.01,0.89
preoccupied,-0.97,0.32
cramped,-0.95,0.23
secret,-0.94,0.98
discouraging,-0.89,0.87
inert,-0.85,0.14
menacing,-0.81,0.21
misleading,-0.81,0.17
cocky,-0.75,0.19
inconceivable,-0.75,0.22
unavoidable,-0.71,1.08
irritating,-0.68,0.35
dubious,-0.67,0.32
prickly,-0.66,0.25
irrelevant,-0.64,0.24
stationary,-0.63,0.21
negligible,-0.63,0.1
furtive,-0.6,0.26
meaningless,-0.6,0.28
outstanding,-0.53,0.31
astounding,-0.5,0.29
feasible,-0.46,0.24
unprecedented,-0.46,0.25
unskilled,-0.46,0.29
cerebellar,-0.44,0.21
interminable,-0.41,0.16
hired,-0.41,0.3
greasy,-0.39,0.28
giant,-0.29,0.31
warring,-0.29,0.22
visual,-0.29,0.12
differential,-0.28,0.12
monastic,-0.28,0.08
filipino,-0.27,0.13
grimy,-0.26,0.23
darned,-0.23,1.05
slack,-0.2,0.21
triple,-0.18,0.18
structural,-0.18,0.18
unfriendly,-0.16,0.28
rumanian,-0.16,0.16
drastic,-0.15,0.16
darn,-0.14,0.8
kayan,-0.13,0.13
anonymous,-0.12,0.2
collective,-0.09,0.13
specialized,-0.09,0.12
condensed,-0.08,0.16
unprepared,-0.07,0.82
approximate,-0.06,0.11
doctrinal,-0.04,0.09
auxiliary,-0.04,0.1
belgian,-0.03,0.08
explosive,-0.03,0.21
reserve,-0.0,0.09
soaring,-0.0,0.14
detached,0.0,0.13
lutheran,0.01,0.13
comparable,0.03,0.13
allied,0.04,0.12
eutectic,0.04,0.13
keenest,0.05,0.12
armored,0.06,0.04
compelling,0.06,0.12
sticky,0.06,0.25
teutonic,0.07,0.16
homogeneous,0.07,0.04
swedish,0.08,0.09
minimum,0.08,0.14
vocational,0.09,0.15
surgical,0.09,0.11
crumpled,0.1,0.24
basic,0.1,0.1
syrian,0.12,0.19
arabic,0.12,0.14
functional,0.13,0.21
husky,0.13,0.31
flying,0.13,0.12
cosmic,0.13,0.1
salient,0.15,0.26
crackling,0.19,0.26
khaki,0.21,0.23
int,0.22,0.19
provisional,0.23,0.19
widening,0.24,0.12
stolid,0.25,0.21
cultural,0.25,0.1
athenian,0.26,0.15
balkan,0.28,0.17
civilian,0.3,0.09
medieval,0.33,0.15
betsy,0.35,0.67
woolen,0.35,0.21
militant,0.37,0.11
cosmopolitan,0.38,0.27
square,0.39,0.15
bohemian,0.4,0.21
blond,0.42,0.33
nearby,0.42,0.13
whimsical,0.47,0.24
carved,0.48,0.24
flexible,0.54,0.2
elusive,0.67,0.39
naive,0.74,0.2
engaging,0.79,0.32
swell,0.79,0.68
dual,0.8,0.96
priceless,0.83,0.11
belated,0.89,0.7
virile,1.25,0.21
compact,1.26,0.82
lovable,1.59,0.23
adorable,1.74,0.67
lilac,1.77,0.86
perplexed,-2.34,0.89
snarling,-2.09,0.81
dismayed,-1.74,0.67
ironic,-1.58,0.69
damn,-1.51,0.81
unbearable,-1.43,0.38
resentful,-1.33,0.59
incredulous,-1.28,0.5
curt,-1.01,0.22
virgin,-1.0,0.82
somber,-0.97,0.2
unbelievable,-0.91,0.41
wasteful,-0.86,0.24
